College Name,City,Branch,Category,Cutoff
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Civil Engineering,GOPEN,91.37
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Civil Engineering,GSC,90.26
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Civil Engineering,GSEBC,89.21
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Civil Engineering,LOPEN,91.68
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Civil Engineering,LST,85.05
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Civil Engineering,LOBC,91.48
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Civil Engineering,EWS,85.95
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Computer Science and Engineering,GOPEN,93.21
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Computer Science and Engineering,GSC,89.37
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Computer Science and Engineering,GST,73.6
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Computer Science and Engineering,GOBC,92.05
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Computer Science and Engineering,LOPEN,94.16
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Computer Science and Engineering,LSEBC,89.31
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Computer Science and Engineering,EWS,89.09
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Information Technology,GOPEN,91.58
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Information Technology,GST,70.8
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Information Technology,GSEBC,90.74
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Information Technology,LOPEN,91.74
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Information Technology,LSC,86.51
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Information Technology,LOBC,91.2
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Information Technology,EWS,88.51
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electrical Engineering,GOPEN,91.44
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electrical Engineering,GSC,89.89
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electrical Engineering,GNTA,87.83
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electrical Engineering,GOBC,91.22
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electrical Engineering,GSEBC,90.89
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electrical Engineering,LOPEN,89.28
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electrical Engineering,LST,80.94
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electrical Engineering,EWS,86.11
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electronics and Telecommunication Engg,GOPEN,90.41
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electronics and Telecommunication Engg,GSC,84.0
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electronics and Telecommunication Engg,GST,69.59
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electronics and Telecommunication Engg,GOBC,89.35
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electronics and Telecommunication Engg,LOPEN,89.41
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electronics and Telecommunication Engg,LOBC,87.24
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electronics and Telecommunication Engg,LSEBC,88.76
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Electronics and Telecommunication Engg,EWS,95.26
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Instrumentation Engineering,GOPEN,83.06
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Instrumentation Engineering,GOBC,82.32
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Instrumentation Engineering,GSEBC,82.18
"Government College of Engineering, Amravati (Government Autonomous)",Amravati,Instrumentation Engineering,LSC,69.72
