College Code,College Name,Choice Code,Branch,Stage,Category,Cutoff Rank,Percentage,City
1002,"Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,,GOPEN,1432,91.37,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,,GSC,2087,90.26,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,,GSEBC,2895,89.21,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,,LOPEN,1270,91.68,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,,LST,7466,85.05,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,,LOBC,1376,91.48,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,,EWS,6296,85.95,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,Stage-I,GOPEN,658,93.21,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,Stage-I,GSC,2779,89.37,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,Stage-I,GST,27871,73.6,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,Stage-I,GOBC,1094,92.05,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,Stage-I,LOPEN,396,94.16,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,Stage-I,LSEBC,2806,89.31,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,Stage-I,EWS,3001,89.09,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,,GOPEN,1320,91.58,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,,GST,33650,70.8,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,,GSEBC,1794,90.74,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,,LOPEN,1244,91.74,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,,LSC,5634,86.51,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,,LOBC,1512,91.2,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,,EWS,3559,88.51,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,Stage-I,GOPEN,1390,91.44,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,Stage-I,GSC,2393,89.89,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,Stage-I,GNTA,4219,87.83,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,Stage-I,GOBC,1500,91.22,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,Stage-I,GSEBC,1716,90.89,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,Stage-I,LOPEN,2839,89.28,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,Stage-I,LST,13793,80.94,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,Stage-I,EWS,6107,86.11,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,Stage-I,GOPEN,1991,90.41,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,Stage-I,GSC,8926,84.0,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,Stage-I,GST,36099,69.59,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,Stage-I,GOBC,2793,89.35,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,Stage-I,LOPEN,2744,89.41,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,Stage-I,LOBC,4829,87.24,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,Stage-I,LSEBC,3299,88.76,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,Stage-I,EWS,195,95.26,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100246610,Instrumentation Engineering,,GOPEN,10385,83.06,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100246610,Instrumentation Engineering,,GOBC,11545,82.32,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100246610,Instrumentation Engineering,,GSEBC,11743,82.18,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100246610,Instrumentation Engineering,,LSC,35813,69.72,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,Stage-I,GOPEN,4135,87.89,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,Stage-I,GSC,5864,86.31,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,Stage-I,GST,29646,72.77,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,Stage-I,LOPEN,3247,88.82,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,Stage-I,LOBC,4775,87.28,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,Stage-I,LSEBC,22554,76.21,Amravati
1002,"Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,Stage-I,EWS,8960,84.0,Amravati
1005,"Sant Gadge Baba Amravati University,Amravati (University Department)",100550310,Food Technology,Stage-I,GOPEN,20584,77.18,Amravati
1005,"Sant Gadge Baba Amravati University,Amravati (University Department)",100550310,Food Technology,Stage-I,LOPEN,32141,71.54,Amravati
1005,"Sant Gadge Baba Amravati University,Amravati (University Department)",100552710,Petro Chemical Engineering,,GOPEN,21254,76.83,Amravati
1005,"Sant Gadge Baba Amravati University,Amravati (University Department)",100552710,Petro Chemical Engineering,,LOPEN,8451,84.33,Amravati
1012,"Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Stage-I,GOPEN,6501,85.8,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Stage-I,GSC,13781,80.95,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Stage-I,GST,13512,81.11,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Stage-I,GNTB,14508,80.53,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Stage-I,GNTC,10232,83.16,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Stage-I,GOBC,8306,84.42,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Stage-I,GSEBC,27526,73.74,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Stage-I,LOPEN,6287,85.95,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Stage-I,LOBC,13075,81.37,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Stage-I,DEFR-OBC,16811,79.26,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Stage-I,EWS,14994,80.26,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,Stage-I,GOPEN,4118,87.89,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,Stage-I,GSC,6068,86.13,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,Stage-I,GOBC,4233,87.8,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,Stage-I,LOPEN,2342,89.94,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,Stage-I,LOBC,3622,88.46,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,Stage-I,LSEBC,2838,89.28,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,Stage-I,EWS,6598,85.71,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,,GOPEN,5218,86.89,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,,GSC,5461,86.67,Yavatmal
1012,"Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,,GOBC,5986,86.22,Yavatmal
