College Code,College Name,Choice Code,Course Name,Stage,Category,Cutoff Rank,Percentile,City
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,GOPENS,37591,88.9550679,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,GSCS,58518,82.3322294,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,GSTS,94334,69.4936445,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,GVJS,44057,86.9194446,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,GNT1S,48422,85.5729148,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,GNT2S,41549,87.6872170,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,GNT3S,50563,84.8736599,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,GOBCS,44130,86.9194446,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,GSEBCS,62247,81.1295102,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,LOPENS,30071,91.1459607,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,LSCS,45170,86.6223776,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,LSTS,49208,85.2215842,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,LVJS,66707,79.6986029,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,LNT2S,62338,81.1295102,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,LOBCS,41127,87.9159305,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,LSEBCS,69477,78.6137148,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,PWDOPENS,131331,53.6060165,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,PWDOBCS,197856,7.1701886,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,DEFOPENS,47707,85.8501253,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,DEFOBCS,85223,73.2612864,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,TFWS,37350,88.9773781,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,PWDRSCS,200074,4.5709952,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,DEFROBCS,95765,69.0979021,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,ORPHAN,179315,23.4132019,Amravati
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,I,EWS,90389,71.4755245,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,GOPENS,9196,97.3737374,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,GSCS,18016,94.7837750,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,GSTS,46829,85.9646097,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,GVJS,12192,96.5118421,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,GNT1S,20440,94.0716041,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,GNT2S,15590,95.5372663,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,GOBCS,10583,96.9659622,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,GSEBCS,16679,95.2142111,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,LOPENS,8473,97.5647615,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,LSCS,25163,92.6752061,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,LSTS,35441,89.5868952,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,LNT1S,15967,95.4055944,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,LNT3S,26110,92.3826851,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,LOBCS,10921,96.8499656,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,LSEBCS,15326,95.6055328,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,PWDOPENS,51675,84.5176078,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,PWDOBCS,98826,68.1164395,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,DEFOPENS,30524,91.0510720,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,DEFOBCS,35641,89.5128900,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,TFWS,7401,97.8664807,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,PWDROBC,93506,70.2033567,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,S,40308,88.0599617,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,DEFROBCS,59070,82.1358690,Amravati
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,I,ORPHAN,13724,96.0638523,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,GOPENS,12891,96.3316055,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,GSCS,22881,93.3597277,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,GSTS,61474,81.2846613,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,GVJS,25469,92.5745163,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,GNT1S,24028,92.9975430,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,GNT2S,16590,95.2407244,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,GNT3S,18035,94.7837750,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,GOBCS,14193,95.9539167,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,GSEBCS,20387,94.0956622,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LOPENS,12183,96.5201084,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LSCS,28662,91.6544074,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LSTS,65926,79.9072027,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LNT2S,15745,95.4505300,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LOBCS,13342,96.1719670,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,LSEBCS,17281,95.0157683,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,PWDOPENS,54426,83.7239356,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,PWDOBCS,88788,71.6607627,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,DEFOPENS,36897,89.1476381,Amravati
01002,"Government College of Engineering, Amravati",0100224610,Information Technology,I,DEFOBCS,45048,86.6718198,Amravati
