College Name,City,Branch,Category,Cutoff
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,88.96
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,82.33
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,69.49
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,86.92
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,85.57
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,87.69
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,84.87
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,86.92
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,81.13
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,91.15
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,86.62
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,85.22
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,79.7
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,81.13
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,87.92
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,78.61
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,53.61
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,7.17
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,85.85
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,73.26
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,88.98
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,4.57
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,69.1
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,23.41
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,OPEN,71.48
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,97.37
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,94.78
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,85.96
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,96.51
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,94.07
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,95.54
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,96.97
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,95.21
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,97.56
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,92.68
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,89.59
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,95.41
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,92.38
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,96.85
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,95.61
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,84.52
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,68.12
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,91.05
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,89.51
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,97.87
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,70.2
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,88.06
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,82.14
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,OPEN,96.06
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,OPEN,96.33
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,OPEN,93.36
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,OPEN,81.28
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,OPEN,92.57
"01002 - Government College of Engineering, Amravati",Amravati,Information Technology,OPEN,93
