College Name,City,Branch,Category,Cutoff
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GOPENS,88.5
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GSCS,77.84
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GSTS,65.88
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GVJS,81.29
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GNT,88.44
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GNT,85.75
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GNT,87.89
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GOBCS,85.38
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,GSEBCS,75.35
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LOPENS,88.12
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LSCS,83.64
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LSTS,66.85
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LVJS,81.37
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LNT,70.87
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LOBCS,83.65
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,LSEBCS,55.23
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,PWDOPE,53.77
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,DEFOPE,67.05
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,DEFOBC,47.98
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,TFWS,85.54
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,DEFRSE,50.63
"01002 - Government College of Engineering, Amravati",Amravati,Civil Engineering,EWS,66.19
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GOPENS,97.39
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GSCS,94.17
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GSTS,80.59
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GVJS,94.33
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GNT,94.44
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GNT,94.55
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GOBCS,97.04
"01002 - Government College of Engineering, Amravati",Amravati,Computer Science and Engineering,GSEBCS,94.69
